protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
FANK1,0.06,0.02
FAP,0.26,0.22
FAR1,0.66,0.16
FAR2,0.08,0.0
FARP1,0.16,0.0
FARP2,0.18,0.06
FARS2,0.12,0.06
FARSA,0.9,0.16
FARSB,0.86,0.32
FAS,1.0,0.7
FASLG,1.0,0.88
FASN,0.98,0.2
FASTK,0.26,0.16
FASTKD1,0.08,0.0
FASTKD2,0.42,0.0
FASTKD5,0.34,0.16
FAT1,0.62,0.22
FAT3,0.04,0.06
FAT4,0.14,0.26
FATE1,0.5,0.24
FAU,0.96,0.08
FAXDC2,0.02,0.0
FBF1,0.66,0.42
FBL,1.0,0.0
FBLIM1,0.28,0.06
FBLN1,0.74,0.42
FBLN2,0.62,0.46
FBLN5,0.48,0.36
FBN1,0.7,0.64
FBN2,0.4,0.28
FBN3,0.52,0.26
FBP1,0.82,0.46
FBP2,0.02,0.0
FBRS,0.16,0.14
FBRSL1,0.16,0.12
FBXL12,0.7,0.42
FBXL13,0.16,0.0
FBXL14,0.22,0.12
FBXL15,0.64,0.34
FBXL16,0.08,0.06
FBXL17,0.08,0.0
FBXL18,0.38,0.22
FBXL19,0.02,0.1
FBXL2,0.6,0.28
FBXL20,0.08,0.02
FBXL22,0.28,0.14
FBXL3,0.68,0.26
FBXL4,0.1,0.04
FBXL5,0.64,0.24
FBXL6,0.14,0.12
FBXL7,0.16,0.04
FBXL8,0.12,0.1
FBXO10,0.16,0.0
FBXO11,0.82,0.4
FBXO15,0.26,0.0
FBXO16,0.06,0.0
FBXO17,0.4,0.24
FBXO18,0.6,0.24
FBXO2,0.86,0.48
FBXO21,0.5,0.06
FBXO22,0.56,0.12
FBXO24,0.12,0.0
FBXO25,1.0,0.0
FBXO27,0.36,0.12
FBXO28,0.48,0.08
FBXO3,0.74,0.24
FBXO30,0.24,0.06
FBXO31,0.6,0.14
FBXO32,0.44,0.36
FBXO33,0.34,0.08
FBXO34,0.34,0.02
FBXO38,0.42,0.02
FBXO4,0.92,0.52
FBXO41,0.06,0.06
FBXO42,0.4,0.1
FBXO44,0.72,0.32
FBXO45,0.42,0.06
FBXO46,0.44,0.16
FBXO5,0.94,0.76
FBXO6,0.98,0.16
FBXO7,0.9,0.5
FBXO8,0.24,0.08
FBXO9,0.3,0.06
FBXW10,0.06,0.0
FBXW11,1.0,0.86
FBXW2,0.78,0.36
FBXW4,0.88,0.42
FBXW5,0.92,0.54
FBXW7,1.0,0.46
FBXW8,0.98,0.64
FBXW9,0.46,0.1
FCAR,0.22,0.1
FCER1A,0.12,0.14
FCER1G,0.46,0.4
FCER2,0.34,0.16
FCF1,0.02,0.02
FCGBP,0.08,0.08
FCGR1A,0.44,0.3
FCGR2A,0.7,0.36
FCGR2B,0.46,0.32
FCGR2C,0.3,0.12
FCGR3A,0.16,0.16
FCGR3B,0.06,0.0
FCGRT,0.2,0.12
FCHO1,0.12,0.04
FCHO2,0.44,0.16
FCHSD1,0.26,0.1
FCHSD2,0.78,0.54
FCN1,0.14,0.08
FCN2,0.32,0.1
FCRL3,0.28,0.18
FCRL4,0.1,0.06
FCRLB,0.08,0.0
FDFT1,0.76,0.28
FDPS,0.82,0.08
FDX1,0.16,0.04
FDX1L,0.04,0.0
FDXR,0.2,0.08
FECH,0.6,0.06
FEM1A,0.32,0.0
FEM1B,0.72,0.4
FEM1C,0.4,0.06
FEN1,1.0,0.7
FER,0.74,0.24
FER1L6,0.06,0.0
FERMT1,0.04,0.0
FERMT2,0.86,0.28
FERMT3,0.24,0.12
FES,0.82,0.32
FETUB,0.02,0.0
FEZ1,0.98,0.64
FEZ2,0.6,0.44
FEZF1,0.02,0.0
FFAR1,0.04,0.02
FFAR2,0.12,0.04
FFAR3,0.02,0.02
FGA,0.74,0.58
FGB,0.72,0.6
FGD1,0.18,0.12
FGD2,0.1,0.02
FGD3,0.06,0.04
FGD5,0.14,0.18
FGD6,0.18,0.04
FGF1,0.92,0.66
FGF10,0.18,0.12
FGF12,0.32,0.1
FGF13,0.12,0.08
FGF16,0.04,0.0
FGF18,0.04,0.06
FGF19,0.12,0.12
FGF2,0.92,0.74
FGF21,0.16,0.04
FGF22,0.0,0.02
FGF23,0.04,0.04
FGF3,0.34,0.08
FGF4,0.04,0.06
FGF5,0.14,0.04
FGF6,0.08,0.04
FGF7,0.66,0.58
FGF8,0.14,0.08
FGF9,0.28,0.18
FGFBP1,0.5,0.36
FGFBP2,0.08,0.0
FGFR1,0.98,0.76
FGFR1OP,0.28,0.1
FGFR1OP2,0.54,0.34
FGFR2,0.94,0.78
FGFR3,0.9,0.6
FGFR4,0.48,0.28
FGFRL1,0.02,0.0
FGG,0.56,0.5
FGL1,0.06,0.06
FGR,0.86,0.6
FH,0.8,0.32
FHIT,0.72,0.24
FHL1,0.96,0.56
FHL2,1.0,0.64
FHL3,0.92,0.84
FHL5,0.46,0.52
FHOD1,0.72,0.46
FHOD3,0.1,0.06
FIBP,0.58,0.18
FICD,0.22,0.04
FIG4,0.08,0.0
FIGF,0.3,0.12
FIGN,0.02,0.0
FIGNL1,0.2,0.0
FILIP1,0.24,0.06
FIP1L1,0.54,0.26
FIS1,0.64,0.46
FITM1,0.02,0.0
FIZ1,0.06,0.1
FJX1,0.06,0.0
FKBP10,0.44,0.34
FKBP11,0.04,0.0
FKBP14,0.12,0.0
FKBP15,0.26,0.06
FKBP1A,0.94,0.42
FKBP1B,0.34,0.18
FKBP2,0.34,0.42
FKBP3,0.82,0.5
FKBP4,0.98,0.56
FKBP5,0.94,0.38
FKBP6,0.14,0.06
FKBP7,0.14,0.14
FKBP8,1.0,0.46
FKBP9,0.52,0.26
FKBPL,0.36,0.16
FLAD1,0.5,0.12
FLCN,0.24,0.12
FLG,0.36,0.08
FLG2,0.56,0.0
FLI1,0.74,0.54
FLII,0.8,0.42
FLJ10324,0.1,0.1
FLJ10842,0.08,0.04
FLJ11292,0.06,0.0
FLJ44635,0.14,0.0
FLNA,1.0,0.08
FLNB,0.92,0.22
FLNC,0.98,0.48
FLOT1,0.98,0.56
FLOT2,0.84,0.36
FLRT3,0.04,0.0
FLT1,0.88,0.46
FLT3,0.6,0.18
FLT3LG,0.14,0.06
FLT4,0.64,0.32
FLVCR1,0.4,0.0
FLYWCH1,0.16,0.02
FLYWCH2,0.04,0.0
FMN1,0.02,0.0
FMN2,0.0,0.04
FMNL1,0.98,0.52
FMNL2,0.18,0.1
FMNL3,0.26,0.04
FMO3,0.06,0.08
FMOD,0.04,0.12
FMR1,0.9,0.62
FN1,1.0,0.2
FN3KRP,0.24,0.02
FNBP1,0.92,0.64
FNBP1L,0.32,0.28
FNBP4,0.6,0.2
FNDC3A,0.04,0.0
FNDC3B,0.34,0.02
FNDC4,0.12,0.04
FNIP1,0.52,0.22
FNTA,0.82,0.54
FNTB,0.68,0.42
FOCAD,0.38,0.06
FOLH1,0.12,0.02
FOLR1,0.38,0.16
FOLR3,0.02,0.06
FOPNL,0.06,0.02
FOS,1.0,0.26
FOSB,0.4,0.24
FOSL1,0.94,0.7
FOSL2,0.7,0.3
FOXA1,0.42,0.08
FOXA2,0.36,0.32
FOXA3,0.26,0.14
FOXB1,0.12,0.14
FOXC1,0.46,0.1
FOXC2,0.2,0.08
FOXD3,0.06,0.06
FOXD4L6,0.02,0.0
FOXE1,0.02,0.02
FOXF2,0.14,0.02
FOXG1,0.78,0.64
FOXH1,0.72,0.34
FOXI1,0.2,0.02
FOXJ1,0.32,0.22
FOXJ2,0.04,0.0
FOXJ3,0.2,0.14
FOXK1,0.58,0.32
FOXK2,0.46,0.42
FOXL2,0.34,0.1
FOXM1,0.86,0.32
FOXN2,0.22,0.0
FOXN3,0.28,0.12
FOXO1,1.0,0.52
FOXO3,1.0,0.54
FOXO4,0.84,0.22
FOXO6,0.02,0.04
FOXP1,0.42,0.16
FOXP2,0.12,0.08
FOXP3,0.64,0.38
FOXP4,0.18,0.04
FOXR2,0.02,0.02
FOXRED1,0.16,0.04
FOXRED2,0.36,0.22
FOXS1,0.12,0.06
FPGS,0.52,0.0
FPR1,0.2,0.04
FRA10AC1,0.88,0.66
FRAS1,0.04,0.0
FRAT1,0.74,0.54
FRAT2,0.1,0.0
FREM1,0.04,0.0
FREM2,0.1,0.0
FRG1,0.28,0.1
FRK,0.5,0.28
FRMD4A,0.1,0.04
FRMD5,0.22,0.08
FRMD6,0.38,0.14
FRMD8,0.5,0.0
FRMPD4,0.08,0.14
FRS2,0.86,0.7
FRS3,0.3,0.08
FRY,0.3,0.02
FRYL,0.6,0.24
FRZB,0.4,0.12
FSCN1,0.88,0.5
FSD1,0.28,0.14
FSD1L,0.06,0.0
FSD2,0.04,0.04
FSHB,0.1,0.08
FSHR,0.66,0.38
FSIP1,0.1,0.06
FSIP2,0.02,0.02
FST,0.32,0.36
FSTL1,0.66,0.64
FSTL3,0.2,0.26
FSTL4,0.04,0.0
FTCD,0.04,0.08
FTH1,0.94,0.72
FTL,0.8,0.6
FTO,0.54,0.18
FTSJ1,0.98,0.18
FTSJ2,0.18,0.0
FTSJ3,0.9,0.06
FUBP1,0.98,0.36
FUBP3,0.5,0.14
FUCA1,0.3,0.06
FUCA2,0.16,0.0
FUK,0.1,0.0
FUNDC1,0.14,0.02
FUNDC2,0.78,0.56
FURIN,0.54,0.24
FUS,1.0,1.0
FUT1,0.02,0.04
FUT10,0.04,0.0
FUT11,0.0,0.02
FUT4,0.02,0.02
FUT7,0.04,0.0
FUT8,0.08,0.02
FUT9,0.02,0.0
FXN,0.32,0.22
FXR1,0.86,0.46
FXR2,1.0,0.9
FXYD1,0.28,0.02
FXYD3,0.22,0.06
FXYD6-FXYD2,0.54,0.44
FXYD7,0.12,0.02
FYB,0.76,0.64
FYCO1,0.84,0.52
FYN,1.0,0.0
FYTTD1,0.5,0.2
FZD1,0.2,0.06
FZD2,0.1,0.08
FZD3,0.04,0.02
FZD4,0.24,0.16
FZD5,0.26,0.18
FZD6,0.22,0.06
FZD7,0.38,0.26
FZD8,0.34,0.14
FZD9,0.16,0.06
FZR1,1.0,0.72
G0S2,0.06,0.0
G2E3,0.26,0.02
G3BP1,0.98,0.3
G3BP2,0.9,0.22
G6PC,0.06,0.08
G6PD,0.86,0.3
G7,0.02,0.0
GAA,0.42,0.2
GAB1,1.0,0.66
GAB2,0.96,0.68
GAB3,0.3,0.04
GABARAP,1.0,0.72
GABARAPL1,1.0,0.82
GABARAPL2,1.0,0.74
GABBR1,0.66,0.38
GABBR2,0.54,0.44
GABPA,0.84,0.46
GABPB1,0.68,0.5
GABPB2,0.28,0.12
GABRA1,0.24,0.04
GABRA2,0.08,0.02
GABRA3,0.1,0.06
GABRA4,0.06,0.06
GABRA5,0.1,0.0
GABRA6,0.08,0.0
GABRB1,0.18,0.1
GABRB2,0.26,0.04
GABRB3,0.32,0.1
GABRD,0.18,0.16
GABRG1,0.04,0.04
GABRG2,0.22,0.3
GABRR1,0.26,0.12
GABRR2,0.02,0.02
GAD1,0.28,0.08
GAD2,0.14,0.02
GADD45A,0.98,0.46
GADD45B,0.66,0.5
GADD45G,1.0,0.8
GADD45GIP1,0.76,0.34
GAGE2E,0.0,0.02
GAGE4,0.08,0.0
GAGE7,0.02,0.02
GAK,0.54,0.3
GAL3ST1,0.06,0.0
GAL3ST4,0.14,0.1
GALC,0.04,0.02
GALE,0.38,0.0
GALK1,0.44,0.12
GALK2,0.28,0.0
GALNS,0.0,0.02
GALNT1,0.1,0.02
GALNT10,0.02,0.0
GALNT12,0.08,0.04
GALNT13,0.08,0.0
GALNT14,0.06,0.04
GALNT15,0.12,0.02
GALNT2,1.0,1.0
GALNT5,0.18,0.04
GALNT6,0.18,0.02
GALNT7,0.18,0.06
GALNTL5,0.04,0.0
GALR3,0.06,0.0
GALT,0.34,0.0
GAMT,1.0,1.0
GAN,0.58,0.24
GANAB,1.0,0.22
GAP43,0.38,0.16
GAPD,0.12,0.02
GAPDH,1.0,0.0
GAPDHS,0.18,0.12
GAPVD1,0.64,0.2
GAR1,0.5,0.14
GAREM,0.18,0.04
GAREML,0.1,0.0
GARNL3,0.08,0.0
GARS,0.94,0.02
GART,0.78,0.04
GAS1,0.04,0.0
GAS2,0.1,0.04
GAS2L1,0.06,0.02
GAS6,0.22,0.06
GAS7,0.74,0.52
GAS8,0.24,0.02
GAST,0.08,0.14
GATA1,1.0,0.8
GATA2,0.76,0.66
GATA3,0.68,0.3
GATA4,0.88,0.76
GATA5,0.02,0.02
GATA6,0.42,0.14
GATAD1,0.24,0.18
GATAD2A,0.94,0.58
GATAD2B,0.86,0.68
GATC,0.02,0.04
GATM,0.04,0.04
GATSL2,0.12,0.0
GBA,0.52,0.2
GBA2,0.1,0.0
GBA3,0.04,0.06
GBAS,0.74,0.5
GBE1,0.34,0.12
GBF1,0.66,0.3
GBP1,0.32,0.16
GBP2,0.88,0.74
GBP3,0.12,0.12
GC,0.38,0.16
GCA,0.5,0.34
GCAT,0.14,0.02
GCC1,0.78,0.46
GCC2,0.48,0.18
GCDH,0.58,0.22
GCFC2,0.2,0.14
GCG,0.32,0.24
GCGR,0.14,0.02
GCH1,0.78,0.0
GCHFR,0.08,0.0
GCK,0.24,0.02
GCKR,0.3,0.02
GCLC,0.44,0.16
GCLM,0.54,0.16
GCM1,0.68,0.32
GCN1L1,0.98,0.0
GCNT1,0.24,0.2
GCNT3,0.14,0.1
GCSAM,0.0,0.02
GCSH,1.0,1.0
GDA,0.58,0.46
GDAP1,0.22,0.04
GDAP2,0.48,0.0
GDE1,0.28,0.26
GDF11,0.14,0.1
GDF15,0.22,0.12
GDF5,0.7,0.5
GDF6,0.1,0.1
GDF9,0.98,0.7
GDI1,0.94,0.46
GDI2,0.78,0.3
GDNF,0.12,0.06
GDPD1,0.2,0.0
GDPD2,0.12,0.08
GDPD3,0.06,0.0
GEM,0.8,0.62
GEMIN2,0.9,0.54
GEMIN4,1.0,0.56
GEMIN5,1.0,1.0
GEMIN6,0.84,0.6
GEMIN7,0.82,0.48
GEMIN8,0.28,0.04
GEN1,0.02,0.0
GET4,0.88,0.6
GFAP,0.9,0.32
GFER,0.8,0.64
GFI1,0.86,0.64
GFI1B,1.0,0.7
GFM1,0.52,0.16
GFM2,0.2,0.0
GFOD2,0.16,0.0
GFPT1,0.74,0.26
GFPT2,0.46,0.0
GFRA1,0.28,0.22
GFRA2,0.06,0.1
GGA1,1.0,0.96
GGA2,0.94,0.78
GGA3,0.9,0.76
GGCT,0.28,0.0
GGCX,0.24,0.0
GGH,0.54,0.14
GGN,0.18,0.0
GGNBP2,0.06,0.0
GGPS1,0.28,0.02
GGT1,0.02,0.04
GGT7,0.08,0.12
GH1,0.92,0.36
GH2,0.0,0.02
GHITM,0.32,0.08
GHR,0.96,0.88
GHRH,0.02,0.04
GHRHR,0.0,0.02
GHRL,0.04,0.02
GID4,0.08,0.02
GID8,0.68,0.38
GIF,0.18,0.1
GIGYF1,0.2,0.26
GIGYF2,0.68,0.3
GIMAP1,0.1,0.0
GIMAP2,0.02,0.0
GIMAP4,0.08,0.0
GIMAP5,0.08,0.0
GIMAP6,0.04,0.0
GIMAP7,0.02,0.0
GIMAP8,0.1,0.0
GIN1,0.14,0.12
GINM1,0.34,0.0
GINS1,0.36,0.06
GINS2,0.78,0.38
GINS3,0.68,0.3
GINS4,0.72,0.36
GIP,0.2,0.12
GIPC1,0.96,0.78
GIPC2,0.36,0.24
GIPC3,0.02,0.0
GIPR,0.24,0.18
GIT1,1.0,0.46
GIT2,0.84,0.4
GJA1,1.0,0.06
GJA3,0.24,0.04
GJA4,0.08,0.04
GJA5,0.2,0.04
GJA8,0.06,0.08
GJA9,0.06,0.0
GJB1,0.18,0.1
GJB2,0.16,0.2
GJB3,0.18,0.02
GJB5,0.28,0.28
GJB6,0.08,0.0
GJC1,0.1,0.0
GJC2,0.0,0.02
GJD3,0.06,0.08
GJD4,0.02,0.0
GK,0.3,0.22
GK2,0.04,0.0
GK5,0.16,0.0
GKAP1,0.22,0.18
GKN1,0.02,0.06
GKN2,0.02,0.0
GLA,0.58,0.26
GLB1,0.5,0.08
GLB1L,0.1,0.0
GLCE,0.04,0.0
GLDC,1.0,1.0
GLE1,0.4,0.06
GLG1,1.0,1.0
GLI1,0.9,0.72
GLI2,0.46,0.32
GLI3,0.74,0.44
GLIPR1L2,0.06,0.0
GLIPR2,0.26,0.04
GLIS2,0.3,0.2
GLIS3,0.16,0.18
GLMN,0.68,0.48
GLO1,0.46,0.08
GLOD4,0.44,0.14
GLP1R,0.96,0.72
GLP2R,0.02,0.0
GLRA2,0.12,0.06
GLRB,0.06,0.0
GLRX,0.44,0.3
GLRX2,0.02,0.02
GLRX3,0.88,0.48
GLRX5,0.18,0.06
GLS,0.66,0.22
GLS2,0.06,0.08
GLT8D1,0.2,0.0
GLT8D2,0.14,0.0
GLTP,0.32,0.0
GLTPD1,0.12,0.0
GLTPD2,0.06,0.1
GLTSCR1,0.14,0.1
GLTSCR1L,0.16,0.08
GLTSCR2,0.46,0.22
GLUD1,1.0,1.0
GLUD2,0.36,0.06
GLUL,0.78,0.42
GLYAT,0.16,0.06
GLYATL3,0.02,0.0
GLYCTK,0.14,0.12
GLYR1,0.56,0.06
GM2A,0.16,0.02
GMCL1,0.2,0.12
GMDS,0.42,0.08
GMEB1,0.62,0.16
GMEB2,0.12,0.08
GMFB,1.0,1.0
GMFG,0.38,0.08
GMIP,0.2,0.0
GMNN,0.96,0.7
GMPPA,0.56,0.28
GMPPB,1.0,1.0
GMPR2,0.08,0.04
GMPS,0.92,0.28
GNA11,0.58,0.26
GNA12,0.9,0.58
GNA13,0.82,0.54
GNA14,0.16,0.1
GNA15,0.46,0.26
GNAI1,0.98,0.72
GNAI2,1.0,0.26
GNAI3,0.98,0.78
GNAL,0.58,0.08
GNAO1,0.78,0.34
GNAQ,0.98,0.56
GNAS,0.82,0.36
GNAT1,0.28,0.06
GNAT2,0.36,0.0
GNAT3,0.3,0.04
GNAZ,0.56,0.22
GNB1,1.0,0.92
GNB1L,0.1,0.04
GNB2,0.96,0.74
GNB2L1,1.0,0.0
GNB3,0.8,0.64
GNB4,0.94,0.66
GNB5,0.82,0.62
GNE,0.34,0.14
GNG10,0.44,0.38
GNG11,0.42,0.32
GNG12,0.66,0.44
GNG13,0.4,0.4
GNG2,0.94,0.74
GNG3,0.7,0.54
GNG4,1.0,1.0
GNG5,0.62,0.44
GNG7,0.76,0.46
GNG8,0.08,0.06
GNGT1,0.38,0.26
GNGT2,0.36,0.32
GNL1,0.48,0.2
GNL2,0.7,0.04
GNL3,0.98,0.16
GNL3L,0.56,0.12
GNLY,0.02,0.0
GNMT,0.66,0.34
GNPAT,0.54,0.28
GNPDA1,0.76,0.32
GNPDA2,0.38,0.02
GNPNAT1,0.36,0.12
GNPTAB,0.18,0.06
GNPTG,0.12,0.06
GNRH1,0.02,0.0
GNRH2,0.08,0.0
GNS,0.56,0.22
GOLGA1,0.1,0.16
GOLGA2,1.0,0.8
GOLGA3,0.4,0.2
GOLGA4,0.58,0.3
GOLGA5,0.16,0.14
GOLGA6L10,0.1,0.0
GOLGA6L3,0.02,0.0
GOLGA7,0.38,0.0
GOLGA8A,0.06,0.02
GOLGA8H,0.04,0.0
GOLGA8J,0.02,0.0
GOLGA8M,0.02,0.0
GOLGB1,0.74,0.6
GOLIM4,0.02,0.02
GOLM1,0.84,0.64
GOLPH3,0.26,0.06
GOLPH3L,0.18,0.02
GOLT1B,0.18,0.04
GON4L,0.24,0.08
GOPC,0.88,0.42
GORAB,0.5,0.28
GORASP1,0.66,0.52
GORASP2,1.0,0.72
GOSR1,0.54,0.36
GOSR2,0.4,0.12
GOT1,0.72,0.06
GOT1L1,0.02,0.0
GOT2,0.84,0.38
GP1BA,0.68,0.22
GP1BB,0.48,0.18
GP2,0.02,0.04
GP5,0.08,0.02
GP6,0.74,0.14
GP9,0.18,0.14
GPA33,0.04,0.0
GPAA1,0.76,0.26
GPAM,0.06,0.0
GPANK1,0.34,0.26
GPAT2,0.04,0.0
GPATCH1,0.18,0.04
GPATCH11,0.1,0.0
GPATCH2,0.1,0.0
GPATCH2L,0.2,0.06
GPATCH4,0.14,0.0
GPATCH8,0.24,0.18
GPBP1,0.14,0.02
GPBP1L1,0.2,0.22
GPC1,0.3,0.08
GPC3,0.2,0.08
GPC4,0.3,0.08
GPC5,0.1,0.0
GPCPD1,0.0,0.04
GPD1,0.26,0.16
GPD1L,0.08,0.02
GPD2,0.12,0.02
GPHN,0.52,0.4
GPI,0.72,0.16
GPKOW,0.76,0.44
GPLD1,0.14,0.12
GPM6A,0.0,0.02
GPM6B,0.14,0.02
GPN1,0.94,0.0
GPN2,0.02,0.0
GPN3,0.54,0.06
GPNMB,0.12,0.08
GPR107,0.04,0.0
GPR108,0.2,0.1
GPR113,0.04,0.0
GPR114,0.08,0.0
GPR115,0.04,0.0
GPR119,0.04,0.0
GPR12,0.06,0.0
GPR124,0.18,0.12
GPR125,0.0,0.04
GPR126,0.04,0.0
GPR135,0.12,0.12
GPR142,0.08,0.02
GPR143,0.12,0.22
GPR15,0.08,0.04
GPR153,0.08,0.0
GPR155,0.04,0.0
GPR158,0.02,0.02
GPR176,0.02,0.0
GPR179,0.02,0.0
GPR18,0.04,0.02
GPR182,0.02,0.0
GPR183,0.28,0.1
GPR20,0.16,0.12
GPR21,0.06,0.1
GPR22,0.1,0.08
GPR25,0.0,0.02
GPR26,0.16,0.12
GPR3,0.04,0.06
GPR37,0.76,0.48
GPR37L1,0.06,0.04
GPR39,0.02,0.0
GPR45,0.12,0.0
GPR50,0.2,0.14
GPR52,0.06,0.02
GPR56,0.1,0.0
GPR63,0.02,0.0
GPR64,0.08,0.0
GPR75-ASB3,0.58,0.24
GPR78,0.04,0.0
GPR89B,0.12,0.0
GPR89C,0.08,0.0
GPRASP1,0.8,0.5
GPRASP2,0.7,0.52
GPRC5A,0.48,0.02
GPRC5B,0.02,0.0
GPRC5C,0.28,0.04
GPRIN2,0.64,0.42
GPS1,1.0,0.84
GPS2,0.98,0.74
GPSM1,1.0,1.0
GPSM2,0.72,0.46
GPSM3,0.3,0.16
GPT,0.12,0.12
GPT2,0.1,0.1
GPX1,0.22,0.18
GPX2,0.08,0.0
GPX4,0.28,0.04
GPX7,0.24,0.14
GPX8,1.0,0.0
GRAMD1A,0.2,0.0
GRAMD1C,0.1,0.06
GRAMD4,0.08,0.04
GRAP,0.52,0.42
GRAP2,0.98,0.94
GRASP,0.0,0.02
GRB10,0.96,0.7
GRB14,0.8,0.6
GRB2,1.0,0.0
GRB7,0.88,0.52
GREB1L,0.08,0.02
GREM1,0.06,0.02
GREM2,0.02,0.0
GRHL1,0.06,0.02
GRHL2,0.04,0.0
GRHL3,0.16,0.04
GRHPR,0.6,0.26
GRIA1,0.68,0.52
GRIA2,0.66,0.52
GRIA3,0.32,0.26
GRIA4,0.2,0.36
GRID1,0.04,0.02
GRID2,0.42,0.24
GRID2IP,0.14,0.06
GRIK1,0.42,0.22
GRIK2,0.8,0.7
GRIK3,0.28,0.16
GRIK4,0.02,0.06
GRIK5,0.56,0.28
GRIN1,0.6,0.12
GRIN2A,0.84,0.6
GRIN2B,0.9,0.68
GRIN2C,0.46,0.3
GRIN2D,0.6,0.16
GRIN3A,0.24,0.14
GRIN3B,0.12,0.1
GRIP1,0.96,0.74
GRIP2,0.26,0.3
GRIPAP1,0.48,0.26
GRK1,0.32,0.24
GRK4,0.22,0.04
GRK5,1.0,0.1
GRK6,0.7,0.34
GRK7,0.14,0.0
GRM1,0.3,0.16
GRM2,0.02,0.04
GRM3,0.3,0.22
GRM4,0.0,0.02
GRM5,0.22,0.04
GRM7,0.36,0.26
GRM8,0.04,0.0
GRN,0.96,0.66
GRP,0.04,0.04
GRPEL1,0.56,0.04
GRPEL2,0.04,0.0
GRSF1,0.46,0.0
GRTP1,0.12,0.0
GRWD1,0.78,0.22
GRXCR1,0.02,0.0
GSAP,0.04,0.0
GSC,0.1,0.06
GSC2,0.04,0.02
GSDMA,0.08,0.0
GSDMB,0.22,0.16
GSDMD,0.3,0.0
GSE1,0.68,0.34
GSG2,0.16,0.2
GSK3A,0.98,0.48
GSK3B,1.0,0.0
GSKIP,0.36,0.22
GSN,0.84,0.22
GSPT1,0.98,0.46
GSPT2,0.72,0.44
GSR,0.7,0.3
GSS,0.78,0.14
GSTA1,0.26,0.16
GSTA3,0.14,0.0
GSTA4,0.04,0.0
GSTCD,0.2,0.08
GSTK1,0.96,0.28
GSTM1,0.26,0.04
GSTM2,0.26,0.02
GSTM3,0.6,0.2
GSTM4,0.44,0.3
GSTM5,0.3,0.0
GSTO1,0.6,0.38
GSTO2,0.06,0.0
GSTP1,0.8,0.52
GSTT1,0.02,0.0
GSTZ1,0.24,0.0
GTDC1,0.04,0.0
GTF2A1,1.0,0.62
GTF2A1L,0.36,0.28
GTF2A2,0.84,0.64
GTF2B,1.0,1.0
GTF2E1,0.96,0.86
GTF2E2,0.9,0.76
GTF2F1,1.0,0.82
GTF2F2,0.98,0.48
GTF2H1,0.98,0.92
GTF2H2C,0.94,0.82
GTF2H2D,0.14,0.02
GTF2H3,0.92,0.8
GTF2H4,0.82,0.62
GTF2H5,0.74,0.62
GTF2I,1.0,0.44
GTF2IRD1,0.52,0.18
GTF2IRD2,0.3,0.02
GTF2IRD2B,0.02,0.0
GTF3A,0.26,0.16
GTF3C1,1.0,1.0
GTF3C2,0.74,0.64
GTF3C3,0.64,0.44
GTF3C4,0.98,0.52
GTF3C5,0.78,0.4
GTF3C6,0.38,0.22
GTPBP1,1.0,1.0
GTPBP10,0.1,0.02
GTPBP2,0.44,0.14
GTPBP3,0.36,0.16
GTPBP4,0.88,0.0
GTPBP6,0.02,0.0
GTPBP8,0.02,0.0
GTSE1,0.36,0.04
GTSF1,0.08,0.0
GUCA2A,0.02,0.0
GUCD1,0.06,0.0
GUCY1A2,0.3,0.26
GUCY1A3,0.18,0.04
GUCY1B3,0.38,0.34
GUCY2C,0.06,0.0
GUCY2D,0.04,0.0
GUF1,0.18,0.06
GUK1,0.2,0.02
GULP1,0.34,0.42
GUSB,0.18,0.02
GXYLT1,0.26,0.04
GYG1,0.4,0.36
GYG2,0.28,0.06
GYPA,0.04,0.0
GYPC,0.26,0.22
GYS1,0.74,0.24
GYS2,0.28,0.02
GZF1,0.24,0.16
GZMA,0.82,0.5
GZMB,1.0,0.78
GZMH,0.08,0.06
GZMK,0.62,0.36
GZMM,0.32,0.14
H1F0,0.9,0.18
H1FX,0.78,0.18
H2AFB1,0.16,0.04
H2AFJ,0.38,0.02
H2AFV,0.78,0.26
H2AFX,1.0,0.0
H2AFY,0.88,0.52
H2AFY2,0.46,0.16
H2AFZ,0.98,0.54
H2BFM,0.04,0.0
H3F3B,1.0,0.46
H3F3C,0.72,0.26
H6PD,0.02,0.04
HAAO,0.38,0.06
HABP2,0.2,0.06
HABP4,0.88,0.48
HACE1,0.44,0.2
HACL1,0.46,0.26
HADH,0.52,0.04
HADHA,0.96,0.4
HADHB,0.82,0.3
HAGH,0.36,0.04
HAGHL,0.08,0.0
HAL,0.1,0.02
HAMP,0.22,0.24
HAND1,0.32,0.12
HAND2,0.66,0.16
HAO1,0.1,0.12
HAO2,0.0,0.02
HAP1,1.0,0.88
HAPLN1,0.22,0.12
HARS,0.84,0.24
HARS2,0.28,0.04
HAS1,0.06,0.0
HAS2,0.04,0.0
HAS3,0.08,0.0
HAT1,0.98,0.2
HAUS1,0.5,0.1
HAUS2,0.26,0.18
HAUS3,0.2,0.02
HAUS4,0.26,0.02
HAUS5,0.48,0.14
HAUS6,0.56,0.24
HAUS7,0.56,0.24
HAUS8,0.12,0.02
